day,date,title,summary,highlights,lodging,featured_photo_id
1,Jul 13,Day 1,,,,IMG_5541
2,Jul 14,Day 2,,,,IMG_5613
3,Jul 15,Day 3,,,,IMG_0127
4,Jul 16,Day 4,,,,IMG_0266
5,Jul 18,Day 5,,,,IMG_0335
6,Jul 19,Day 6,,,,
7,Jul 20,Day 7,,,,IMG_0433
8,Jul 21,Day 8,,,,IMG_0489
